Field Word,Type,Level,Page
concentrate,v.,4,14
concentration,n.,4,14
concept,n.,4,14
conception,n.,6,14
concern,v./n.,3,14
concerning,prep.,4,14
concert,n.,3,14
concession,n.,6,14
concise,adj.,6,14
conclude,v.,3,14
conclusion,n.,3,14
concrete,adj./n./v.,4,14
condemn,v.,5,14
condense,v.,6,14
condition,n./v.,3,14
conduct,n./v.,5,14
conductor,n.,4,14
cone,n.,3,14
confer,v.,6,14
conference,n.,4,14
confess,v.,4,14
confession,n.,5,14
confidence,n.,4,15
confident,adj.,3,15
confidential,adj.,6,15
confine,v.,4,15
confirm,v.,2,15
conflict,n./v.,2,15
conform,v.,6,15
confront,v.,5,15
confrontation,n.,6,15
Confucius,n.,2,15
confuse,v.,3,15
confusion,n.,4,15
congratulate,v.,4,15
congratulation(s),n.,2,15
congress,n.,4,15
congressman/congresswoman,n.,6,15
conjunction,n.,4,15
connect,v.,3,15
connection,n.,3,15
conquer,v.,4,15
conquest,n.,6,15
conscience,n.,4,15
conscientious,adj.,6,15
conscious,adj.,3,15
consensus,n.,6,15
consent,v./n.,5,15
consequence,n.,4,15
consequent,adj.,4,15
conservation,n.,6,15
conservative,adj./n.,4,15
conserve,v./n.,5,15
consider,v.,2,15
considerable,adj.,3,15
considerate,adj.,5,15
consideration,n.,3,15
consist,v.,4,15
consistent,adj.,4,15
consolation,n.,6,15
console,v./n.,5,15
consonant,n.,4,15
conspiracy,n.,6,15
constant,adj./n.,3,15
constituent,adj./n.,6,15
constitute,v.,4,15
constitution,n.,4,15
constitutional,adj./n.,5,15
construct,v.,4,15
construction,n.,4,15
constructive,adj.,4,15
consult,v.,4,15
consultant,n.,4,15
consultation,n.,6,15
consume,v.,4,15
consumer,n.,4,15
consumption,n.,6,15
contact,n./v.,2,15
contagious,adj.,5,15
contain,v.,2,15
container,n.,4,15
contaminate,v.,5,15
contemplate,v.,5,15
contemplation,n.,6,15
contemporary,adj./n.,5,15
contempt,n.,5,15
contend,v.,5,15
content (1),adj./n.,4,15
content(ment) (2),v./(n.),4,15
content(s) (3),n.,4,15
contest,n./v.,4,15
contestant,n.,6,15
context,n.,4,15
continent,n.,3,15
continental,adj.,5,15
continual,adj.,4,15
continue,v.,1,15
continuity,n.,5,15
continuous,adj.,4,15
contract,n./v.,3,15
contractor,n.,6,15
contradict,v.,6,15
contradiction,n.,6,15
contrary,adj./n.,4,15
contrast,n./v.,4,15
contribute,v.,4,15
contribution,n.,4,15
control,n./v.,2,15
controller,n.,2,16
controversial,adj.,6,16
controversy,n.,6,16
convenience,n.,4,16
convenient,adj.,2,16
convention,n.,4,16
conventional,adj.,4,16
conversation,n.,2,16
converse,v.,4,16
convert,v.,5,16
convey,v.,4,16
convict,v./n.,5,16
conviction,n.,6,16
convince,v.,4,16
cook,v./n.,1,16
cooker,n.,2,16
cookie/cooky,n.,1,16
cool,adj./n./v.,1,16
cooperate,v.,4,16
cooperation,n.,4,16
cooperative,adj./n.,4,16
coordinate,v./adj./n.,6,16
cope,v.,4,16
copper,n./adj.,4,16
copy/Xerox/xerox,n./v.,2,16
copyright,n./v.,5,16
coral,n./adj.,5,16
cord,n.,4,16
cordial,adj.,6,16
core,n./v.,6,16
cork,n./v.,4,16
corn,n.,1,16
corner,n.,2,16
corporate,adj.,6,16
corporation,n.,5,16
corps,n.,6,16
corpse,n.,6,16
correct,adj./v.,1,16
correspond,v.,4,16
correspondence,n.,5,16
correspondent,n.,6,16
corridor,n.,5,16
corrupt,adj./v.,5,16
corruption,n.,6,16
cosmetic,adj.,6,16
cosmetics,n.,6,16
cosmopolitan,adj./n.,6,16
cost,n./v.,1,16
costly,adj.,2,16
costume,n.,4,16
cottage,n.,4,16
cotton,n.,2,16
couch,n./v.,3,16
cough,v./n.,2,16
council,n.,4,16
counsel,n./v.,5,16
counselor,n.,5,16
count,v./n.,1,16
countable,adj.,3,16
counter (1),n.,4,16
counter (2),v./adv./adj./n.,4,16
counterclockwise,adv./adj.,5,16
counterpart,n.,6,16
country,n.,1,16
countryside,n.,2,16
county,n.,2,16
couple,n./v.,2,16
coupon,n.,5,16
courage,n.,2,16
courageous,adj.,4,16
course,n./v.,1,16
court,n./v.,2,16
courteous,adj.,4,16
courtesy,n.,4,16
courtyard,n.,5,16
cousin,n.,2,16
cover,v./n.,1,16
coverage,n.,6,16
covet,v.,6,16
cow,n.,1,16
coward,n.,3,16
cowardly,adj.,5,16
cowboy,n.,1,16
cozy,adj.,5,16
crab,n.,2,16
crack,n./v.,4,16
cracker,n.,5,17
cradle,n./v.,3,17
craft,n.,4,17
cram,v.,4,17
cramp,n./v.,6,17
crane,n./v.,2,17
crash,n./v.,3,17
crater,n./v.,5,17
crawl,v./n.,3,17
crayon,n.,2,17
crazy,adj.,2,17
creak,n./v.,5,17
cream,n./adj.,2,17
create,v.,2,17
creation,n.,4,17
creative,adj.,3,17
creativity,n.,4,17
creator,n.,3,17
creature,n.,3,17
credibility,n.,6,17
credible,adj.,6,17
credit,n./v.,3,17
creek,n.,5,17
creep,v.,3,17
crew,n.,3,17
crib,n./v.,5,17
cricket,n.,3,17
crime,n.,2,17
criminal,adj./n.,3,17
cripple,n./v.,4,17
crisis,n.,2,17
crisp/crispy,adj.,3,17
criterion,n.,6,17
critic,n.,4,17
critical,adj.,4,17
criticism,n.,4,17
criticize,v.,4,17
crocodile,n.,5,17
crook,n./v.,6,17
crooked,adj.,6,17
crop,n./v.,2,17
cross,n./v.,2,17
crossing,n.,5,17
crouch,v./n.,5,17
crow (1),n.,1,17
crow (2),v.,2,17
crowd,n./v.,2,17
crown,n./v.,3,17
crucial,adj.,6,17
crude,adj.,6,17
cruel,adj.,2,17
cruelty,n.,4,17
cruise,v./n.,6,17
cruiser,n.,6,17
crumb,n.,6,17
crumble,v./n.,6,17
crunch,v./n.,5,17
crunchy,adj.,3,17
crush,v./n.,4,17
crust,n./v.,6,17
crutch,n.,3,17
cry,v./n.,1,17
crystal,n./adj.,5,17
cub,n.,1,17
cube,n./v.,4,17
cucumber,n.,4,17
cue,n./v.,4,17
cuisine,n.,5,17
cultivate,v.,6,17
cultural,adj.,3,17
culture,n.,2,17
cumulative,adj.,6,17
cunning,adj./n.,4,17
cup,n./v.,1,17
cupboard,n.,3,17
curb,n./v.,5,17
cure,v./n.,2,17
curiosity,n.,4,17
curious,adj.,2,17
curl,v./n.,4,17
currency,n.,5,17
current,adj./n.,3,17
curriculum,n.,5,17
curry,n./v.,5,17
curse,n./v.,4,17
curtain/drape,n./v.,2,17
curve,n./v.,4,18
cushion,n./v.,4,18
custom,n.,2,18
customary,adj.,6,18
customer,n.,2,18
customs,n.,5,18
cut,v./n.,1,18
cute,adj.,1,18
cycle,n./v.,3,18
daddy/dad/papa/pa/pop n.,,1,18
daffodil,n.,6,18
daily,adj./adv./n.,2,18
dairy,n.,3,18
dam,n./v.,3,18
damage,n./v.,2,18
damn,v./n.,4,18
damp,adj./n./v.,4,18
dance,v./n.,1,18
dancer,n.,1,18
dandruff,n.,6,18
danger,n.,1,18
dangerous,adj.,2,18
dare,v./aux.,3,18
dark,adj./n.,1,18
darling,n./adj.,3,18
dart,n./v.,5,18
dash,v./n.,3,18
data,n.,2,18
date,n./v.,1,18
daughter,n.,1,18
dawn,n./v.,2,18
day,n.,1,18
daybreak,n.,6,18
dazzle,v./n.,5,18
dead,adj.,1,18
deadline,n.,4,18
deadly,adj./adv.,6,18
deaf,adj.,2,18
deafen,v.,3,18
deal,v./n.,1,18
dealer,n.,3,18
dear,adj./n./adv.,1,18
death,n.,1,18
debate,n./v.,2,18
debt,n.,2,18
decade,n.,3,18
decay,v./n.,5,18
deceive,v.,5,18
December/Dec.,n.,1,18
decent,adj.,6,18
decide,v.,1,18
decision,n.,2,18
decisive,adj.,6,18
deck,n.,3,18
declaration,n.,5,18
declare,v.,4,18
decline,v./n.,6,18
decorate,v.,2,18
decoration,n.,4,18
decrease,v./n.,4,18
dedicate,v.,6,18
dedication,n.,6,18
deed,n.,3,18
deem,v.,6,18
deep,adj./adv.,1,18
deepen,v.,3,18
deer,n.,1,18
defeat,v./n.,4,18
defect,n./v.,6,18
defend,v.,4,18
defense,n.,4,18
defensible,adj.,4,18
defensive,adj.,4,18
deficiency,n.,6,18
define,v.,3,18
definite,adj.,4,18
definition,n.,3,18
degrade,v.,6,18
degree,n.,2,18
delay,v./n.,2,18
delegate,n./v.,5,18
delegation,n.,5,18
deliberate,adj./v.,6,18
delicate,adj.,4,18
delicious,adj.,2,18
delight,n./v.,4,19
delightful,adj.,4,19
delinquent,n./adj.,6,19
deliver,v.,2,19
delivery,n.,3,19
demand,n./v.,4,19
democracy,n.,3,19
democrat,n.,5,19
democratic,adj.,3,19
demonstrate,v.,4,19
demonstration,n.,4,19
denial,n.,5,19
denounce,v.,6,19
dense,adj.,4,19
density,n.,6,19
dental,adj.,6,19
dentist,n.,2,19
deny,v.,2,19
depart,v.,4,19
department,n.,2,19
departure,n.,4,19
depend,v.,2,19
dependable,adj.,4,19
dependent,adj./n.,4,19
depict,v.,6,19
deposit,n./v.,3,19
depress,v.,4,19
depression,n.,4,19
deprive,v.,6,19
depth,n.,2,19
deputy,n.,6,19
derive,v.,6,19
descend,v.,6,19
descendant,n.,6,19
descent,n.,6,19
describe,v.,2,19
description,n.,3,19
descriptive,adj.,5,19
desert (1),n.,2,19
desert (2),v.,2,19
deserve,v.,4,19
design,n./v.,2,19
designate,v./adj.,6,19
designer,n.,3,19
desirable,adj.,3,19
desire,n./v.,2,19
desk,n.,1,19
despair,n./v.,5,19
desperate,adj.,4,19
despise,v.,5,19
despite,prep.,4,19
dessert,n.,2,19
destination,n.,5,19
destined,adj.,6,19
destiny,n.,5,19
destroy,v.,3,19
destruction,n.,4,19
destructive,adj.,5,19
detach,v.,6,19
detail,n./v.,3,19
detain,v.,6,19
detect,v.,2,19
detective,n./adj.,4,19
deter,v.,6,19
detergent,n.,5,19
deteriorate,v.,6,19
determination,n.,4,19
determine,v.,3,19
devalue,v.,6,19
develop(ment),v./(n.),2,19
device,n.,4,19
devil,n.,3,19
devise,v.,4,19
devote,v.,4,19
devotion,n.,5,19
devour,v.,5,19
dew,n.,2,19
diabetes,n.,6,19
diagnose,v.,6,19
diagnosis,n.,6,19
diagram,n./v.,6,19
dial,n./v.,2,19
dialect,n.,5,19
dialogue,n.,3,19
diameter,n.,6,19
diamond,n.,2,19
diaper,n.,4,20
diary,n.,2,20
dictate,v.,6,20
dictation,n.,6,20
dictator,n.,6,20
dictionary,n.,2,20
die,v.,1,20
diet,n./v.,3,20
differ,v.,4,20
difference,n.,2,20
different,adj.,1,20
differentiate,v.,6,20
difficult,adj.,1,20
difficulty,n.,2,20
dig,v./n.,1,20
digest (1),v.,4,20
digest (2),n.,4,20
digestion,n.,4,20
digital,adj.,4,20
dignity,n.,4,20
dilemma,n.,6,20
diligence,n.,4,20
diligent,adj.,3,20
dim,adj./v.,3,20
dime,n.,3,20
dimension,n.,6,20
diminish,v.,6,20
dine,v.,3,20
dinner,n.,1,20
dinosaur,n.,2,20
dip,v./n.,3,20
diploma,n.,4,20
diplomacy,n.,6,20
diplomat,n.,4,20
diplomatic,adj.,6,20
direct,adj./adv./v.,1,20
direction,n.,2,20
director,n.,2,20
directory,n.,6,20
dirt,n.,3,20
dirty,adj./v.,1,20
disability,n.,6,20
disable,v.,6,20
disadvantage,n./v.,4,20
disagree(ment),v./(n.),2,20
disappear,v.,2,20
disappoint(ment),v./(n.),3,20
disapprove,v.,6,20
disaster,n.,4,20
disastrous,adj.,6,20
disbelief,n.,5,20
discard,v./n.,5,20
discharge,v./n.,6,20
disciple,n.,5,20
disciplinary,adj.,6,20
discipline,n./v.,4,20
disclose,v.,6,20
disclosure,n.,6,20
disco/discotheque,n.,3,20
discomfort,n./v.,6,20
disconnect,v.,4,20
discount,n./v.,3,20
discourage(ment),v./(n.),4,20
discover,v.,1,20
discovery,n.,3,20
discreet,adj.,6,20
discriminate,v.,5,20
discrimination,n.,6,20
discuss,v.,2,20
discussion,n.,2,20
disease,n.,3,20
disgrace,n./v.,6,20
disgraceful,adj.,6,20
disguise,v./n.,4,20
disgust,n./v.,4,20
dish,n./v.,1,20
dishonest,adj.,2,20
disk/disc,n.,3,20
dislike,v./n.,3,20
dismantle,v.,6,20
dismay,v./n.,6,20
dismiss,v.,4,20
disorder,n./v.,4,20
dispatch,v./n.,6,20
dispensable,adj.,6,20
dispense,v.,5,20
disperse,v.,6,21
displace,v.,6,21
display,v./n.,2,21
displease,v.,6,21
disposable,adj./n.,6,21
disposal,n.,6,21
dispose,v.,5,21
dispute,v./n.,4,21
disregard,v./n.,6,21
dissident,adj./n.,6,21
dissolve,v.,6,21
dissuade,v.,6,21
distance,n./v.,2,21
distant,adj.,2,21
distinct,adj.,4,21
distinction,n.,5,21
distinctive,adj.,5,21
distinguish,v.,4,21
distinguished,adj.,4,21
distort,v.,6,21
distract,v.,6,21
distraction,n.,6,21
distress,n./v.,5,21
distribute,v.,4,21
distribution,n.,4,21
district,n.,4,21
distrust,n./v.,6,21
disturb,v.,4,21
disturbance,n.,6,21
ditch,n./v.,3,21
dive,v./n.,3,21
diverse,adj.,6,21
diversify,v.,6,21
diversion,n.,6,21
diversity,n.,6,21
divert,v.,6,21
divide,v./n.,2,21
divine,adj.,4,21
division,n.,2,21
divorce,n./v.,4,21
dizzy,adj.,2,21
do,v./aux.,1,21
dock,n./v.,3,21
doctor/doc,n.,1,21
doctrine,n.,6,21
document,n./v.,5,21
documentary,adj./n.,6,21
dodge,v./n.,3,21
dog,n.,1,21
doll,n.,1,21
dollar/buck,n.,1,21
dolphin,n.,2,21
dome,n./v.,6,21
domestic,adj.,3,21
dominant,adj.,4,21
dominate,v.,4,21
donate,v.,6,21
donation,n.,6,21
donkey,n.,2,21
donor,n.,6,21
doom,n./v.,6,21
door,n.,1,21
doorstep,n.,5,21
doorway,n.,5,21
dormitory,n.,5,21
dormitory/dorm,n.,4,21
dosage,n.,6,21
dose,n./v.,3,21
dot,n./v.,2,21
double,adj./adv./n./v.,2,21
doubt,n./v.,2,21
doubtful,adj.,3,21
dough,n.,5,21
doughnut,n.,2,21
dove,n.,1,21
down,adv./prep./adj./v./n.,1,21
download,v.,4,21
downstairs,adv./adj./n.,1,21
downtown,adv./adj./n.,2,21
downward,adj.,5,21
downward(s),adv.,5,21
doze,v./n.,4,21
dozen,n.,1,21
Dr.,n.,2,21
draft,n./v.,4,21
drag,v./n.,2,21
dragon,n.,2,22
dragonfly,n.,2,22
drain,v./n.,3,22
drama,n.,2,22
dramatic,adj.,3,22
drape,v./n.,5,22
drastic,adj.,6,22
draw,v./n.,1,22
drawback,n.,6,22
drawer,n.,2,22
drawing,n.,2,22
dread,v./n.,4,22
dreadful,adj.,5,22
dream,n./v.,1,22
dreary,adj.,6,22
dress,n./v.,2,22
dresser,n.,5,22
dressing,n.,5,22
drift,n./v.,4,22
drill,n./v.,4,22
drink,v./n.,1,22
drip,v./n.,3,22
drive,v./n.,1,22
driver,n.,1,22
driveway,n.,5,22
drizzle,n./v.,6,22
drop,v./n.,2,22
drought,n.,6,22
drown,v.,3,22
drowsy,adj.,3,22
drug,n./v.,2,22
drugstore,n.,2,22
drum,n./v.,2,22
drunk,adj./n.,3,22
dry,adj./v.,1,22
dryer,n.,2,22
dual,adj.,6,22
dubious,adj.,6,22
duck,n./v.,1,22
duckling,n.,1,22
due,adj./n./adv.,3,22
dull,adj./v.,2,22
dumb,adj.,2,22
dump,v./n.,3,22
dumpling,n.,2,22
durable,adj.,4,22
duration,n.,5,22
during,prep.,1,22
dusk,n.,5,22
dust,n./v.,3,22
dusty,adj.,4,22
duty,n.,2,22
DVD/digital video disk/digital versatile disk,n.,4,22
dwarf,n./v.,5,22
dwell,v.,5,22
dwelling,n.,5,22
dye,n./v.,4,22
dynamic,adj.,4,22
dynamite,n./v.,6,22
dynasty,n.,4,22
each,adj./pron./adv.,1,22
eager,adj.,3,22
eagle,n.,1,22
ear,n.,1,22
early,adj./adv.,1,22
earn,v.,2,22
earnest,adj./n.,4,22
earnings,n.,3,22
earphone,n.,4,22
earth,n.,1,22
earthquake,n.,2,22
ease,n./v.,1,22
east,n./adj./adv.,1,22
eastern,adj.,2,22
easy,adj.,1,22
eat,v.,1,22
ebb,n./v.,6,22
eccentric,adj./n.,6,22
echo,n./v.,3,22
eclipse,n./v.,5,22
ecology,n.,6,22
economic,adj.,4,22
economical,adj.,4,22
economics,n.,4,22
economist,n.,4,22
economy,n.,4,23
ecstasy,n.,6,23
edge,n./v.,1,23
edible,adj.,6,23
edit,v.,3,23
edition,n.,3,23
editor,n.,3,23
editorial,adj./n.,6,23
educate,v.,3,23
education,n.,2,23
educational,adj.,3,23
eel,n.,5,23
effect,n./v.,2,23
effective,adj.,2,23
efficiency,n.,4,23
efficient,adj.,3,23
effort,n.,2,23
egg,n.,1,23
ego,n.,5,23
eight,n./adj.,1,23
eighteen,n./adj.,1,23
eighty,n./adj.,1,23
either (1),adj./pron./conj.,1,23
either (2),adv.,1,23
elaborate,adj./v.,5,23
elastic,adj./n.,4,23
elbow,n./v.,3,23
elder,adj./n.,2,23
elderly,adj.,3,23
elect,v./adj.,2,23
election,n.,3,23
electric/electrical,adj.,3,23
electrician,n.,4,23
electricity,n.,3,23
electron,n.,6,23
electronic,adj.,3,23
electronics,n.,4,23
elegant,adj.,4,23
element,n.,2,23
elementary,adj.,4,23
elephant,n.,1,23
elevate,v.,5,23
elevator,n.,2,23
eleven,n./adj.,1,23
eligible,adj.,6,23
eliminate,v.,4,23
elite,n./adj.,6,23
eloquence,n.,6,23
eloquent,adj.,6,23
else,adv.,1,23
elsewhere,adv.,4,23
e-mail/email,n./v.,4,23
embark,v.,6,23
embarrass(ment),v./(n.),4,23
embassy,n.,4,23
embrace,v./n.,5,23
emerge,v.,4,23
emergency,n.,3,23
emigrant,n.,6,23
emigrate,v.,6,23
emigration,n.,6,23
emotion,n.,2,23
emotional,adj.,4,23
emperor,n.,3,23
emphasis,n.,4,23
emphasize,v.,3,23
emphatic,adj.,6,23
empire,n.,4,23
employ(ment),v./(n.),3,23
employee,n.,3,23
employer,n.,3,23
empty,adj./v.,3,23
enable,v.,3,23
enact(ment),v./(n.),6,23
enclose,v.,4,23
enclosure,n.,6,23
encounter,v./n.,4,23
encourage(ment),v./(n.),2,23
encyclopedia,n.,6,23
end,n./v.,1,23
endanger,v.,4,23
endeavor,v./n.,5,23
ending,n.,2,23
endurance,n.,6,23
endure,v.,4,23
enemy,n.,2,23
energetic,adj.,3,24
energy,n.,2,24
enforce(ment),v./(n.),4,24
engage(ment),v./(n.),3,24
engine,n.,3,24
engineer,n.,3,24
engineering,n.,4,24
English,n./adj.,1,24
enhance(ment),v./(n.),6,24
enjoy(ment),v./(n.),2,24
enjoyable,adj.,3,24
enlarge(ment),v./(n.),4,24
enlighten(ment),v./(n.),6,24
enormous,adj.,4,24
enough,adj./n./adv.,1,24
enrich(ment),v./(n.),6,24
enroll(ment),v./(n.),5,24
ensure/insure,v.,5,24
enter,v.,1,24
enterprise,n.,5,24
entertain(ment),v./(n.),4,24
enthusiasm,n.,4,24
enthusiastic,adj.,5,24
entire,adj.,2,24
entitle,v.,5,24
entrance,n.,2,24
entry,n.,3,24
envelope,n.,2,24
envious,adj.,4,24
environment,n.,2,24
environmental,adj.,3,24
envy,n./v.,3,24
epidemic,n./adj.,6,24
episode,n.,6,24
EQ/emotional quotient/emotional intelligence,n.,6,24
equal,adj./n./v.,1,24
equality,n.,4,24
equate,v.,5,24
equation,n.,6,24
equip(ment),v./(n.),4,24
equivalent,adj./n.,6,24
era,n.,4,24
erase,v.,3,24
eraser,n.,2,24
erect,adj./v.,5,24
erode,v.,6,24
errand,n.,4,24
error,n.,2,24
erupt,v.,5,24
eruption,n.,6,24
escalate,v.,6,24
escalator,n.,4,24
escape,v./n.,3,24
escort,n./v.,5,24
especially,adv.,2,24
essay,n.,4,24
essence,n.,6,24
essential,adj./n.,4,24
establish(ment),v./(n.),4,24
estate,n.,5,24
esteem,v./n.,5,24
estimate,n./v.,4,24
eternal,adj.,5,24
eternity,n.,6,24
ethic(s),n.,5,24
ethical,adj.,6,24
ethnic,adj./n.,6,24
evacuate,v.,6,24
evaluate,v.,4,24
evaluation,n.,4,24
eve,n.,4,24
even (1),adv.,1,24
even (2),adj./v.,1,24
evening,n.,1,24
event,n.,2,24
eventual,adj.,4,24
ever,adv.,1,24
evergreen,adj./n.,5,24
every,adj.,1,24
evidence,n./v.,4,24
evident,adj.,4,24
evil,adj./n.,3,24
evolution,n.,6,24
evolve,v.,6,24
exact,adj.,2,24
exaggerate,v.,4,24
exaggeration,n.,5,25
examination/exam,n.,1,25
examine,v.,1,25
examinee,n.,4,25
examiner,n.,4,25
example,n.,1,25
exceed,v.,5,25
excel,v.,5,25
excellence,n.,3,25
excellent,adj.,2,25
except/excepting,v./prep.,1,25
exception,n.,4,25
exceptional,adj.,5,25
excerpt,n./v.,6,25
excess,n./adj.,5,25
excessive,adj.,6,25
exchange,n./v.,3,25
excite(ment),v./(n.),2,25
exclaim,v.,5,25
exclude,v.,5,25
exclusive,adj.,6,25
excuse,n./v.,2,25
execute,v.,5,25
execution,n.,6,25
executive,n./adj.,5,25
exercise,n./v.,2,25
exert,v.,6,25
exhaust (1),n.,4,25
exhaust (2),v.,4,25
exhibit,v./n.,4,25
exhibition,n.,3,25
exile,n./v.,5,25
exist,v.,2,25
existence,n.,3,25
exit,n./v.,3,25
exotic,adj./n.,6,25
expand,v.,4,25
expansion,n.,4,25
expect,v.,2,25
expectation,n.,3,25
expedition,n.,6,25
expel,v.,6,25
expense,n.,3,25
expensive,adj.,2,25
experience,n./v.,2,25
experiment,n./v.,3,25
experimental,adj.,4,25
expert,n./adj.,2,25
expertise,n.,6,25
expiration,n.,6,25
expire,v.,6,25
explain,v.,2,25
explanation,n.,4,25
explicit,adj.,6,25
explode,v.,3,25
exploit,n./v.,6,25
exploration,n.,6,25
explore,v.,4,25
explosion,n.,4,25
explosive,adj./n.,4,25
export,v./n.,3,25
expose,v.,4,25
exposure,n.,4,25
express (1),v.,2,25
express (2),adj./adv./n.,,25
expression,n.,3,25
expressive,adj.,3,25
exquisite,adj.,6,25
extend,v.,4,25
extension,n.,5,25
extensive,adj.,5,25
extent,n.,4,25
exterior,adj./n.,5,25
external,adj./n.,5,25
extinct,adj.,5,25
extra,adj./adv./n.,2,25
extract,v./n.,6,25
extracurricular,adj.,6,25
extraordinary,adj.,5,25
extreme,adj./n.,3,25
eye,n./v.,1,25
eyebrow/brow,n.,2,25
eyelash/lash,n.,5,25
eyelid,n.,5,25
eyesight,n.,6,25
fable,n.,3,26
fabric,n.,5,26
fabulous,adj.,6,26
face,n./v.,1,26
facial,adj.,4,26
facilitate,v.,6,26
facility,n.,4,26
fact,n.,1,26
faction,n.,6,26
factor,n.,3,26
factory,n.,1,26
faculty,n.,6,26
fad,n.,5,26
fade,v.,3,26
Fahrenheit,n.,5,26
fail,v./n.,2,26
failure,n.,2,26
faint,adj./v./n.,3,26
fair (1),adj./adv.,2,26
fair (2),n.,2,26
fairly,adv.,3,26
fairy,n./adj.,3,26
faith,n.,3,26
faithful,adj.,4,26
fake,adj./n./v.,3,26
fall,v./n.,1,26
FALSE,adj.,1,26
falter,v.,5,26
fame,n.,4,26
familiar,adj.,3,26
familiarity,n.,6,26
family,n.,1,26
famine,n.,6,26
famous,adj.,2,26
fan (1),n./v.,1,26
fan (2)/fanatic,n.,3,26
fancy,n./adj./v.,3,26
fantastic,adj.,4,26
fantasy,n.,4,26
far,adv./adj.,1,26
fare,n.,3,26
farewell,n.,4,26
farm,n./v.,1,26
farmer,n.,1,26
farther,adv./adj.,3,26
fascinate,v.,5,26
fascination,n.,6,26
fashion,n./v.,3,26
fashionable,adj.,3,26
fast,adj./adv.,1,26
fasten,v.,3,26
fat,adj./n.,1,26
fatal,adj.,4,26
fate,n.,3,26
father,n./v.,1,26
fatigue,n./v.,5,26
faucet/tap,n.,3,26
fault,n./v.,2,26
favor,n./v.,2,26
favorable,adj.,4,26
favorite,adj./n.,2,26
fax,n./v.,3,26
fear,n./v.,1,26
fearful,adj.,2,26
feasible,adj.,6,26
feast,n./v.,4,26
feather,n.,3,26
feature,n./v.,3,26
February/Feb.,n.,1,26
federal,adj.,5,26
federation,n.,6,26
fee,n.,2,26
feeble,adj.,5,26
feed,v./n.,1,26
feedback,n.,6,26
feel,v./n.,1,26
feeling,n.,1,26
feelings,n.,1,26
fellow,n.,2,26
female,adj./n.,2,26
feminine,adj./n.,5,26
fence,n./v.,2,26
ferry,n./v.,4,26
fertile,adj.,4,26
fertility,n.,6,26
fertilizer,n.,5,26
festival,n.,2,27
fetch,v./n.,4,27
fever,n.,2,27
few,adj./pron.,1,27
fiancé/fiancée,n.,5,27
fiber,n.,5,27
fiction,n.,4,27
fiddle,n./v.,5,27
fidelity,n.,6,27
field,n.,2,27
fierce,adj.,4,27
fifteen,n./adj.,1,27
fifty,n./adj.,1,27
fight,v./n.,1,27
fighter,n.,2,27
figure,n./v.,2,27
file,n./v.,3,27
fill,v./n.,1,27
film,n./v.,2,27
filter,n./v.,5,27
fin,n.,5,27
final,adj./n.,1,27
finance,n./v.,4,27
financial,adj.,4,27
find,v./n.,1,27
fine (1),adj./adv.,1,27
fine (2),n./v.,1,27
finger,n./v.,1,27
finish,v./n.,1,27
finite,adj.,6,27
fire (1),n./v.,1,27
fire (2),v.,1,27
firecracker,n.,4,27
fireman/firewoman,n.,2,27
fireplace,n.,4,27
fireproof,adj.,6,27
firework,n.,3,27
firm,adj./adv./v.,2,27
first,adj./n./adv.,1,27
fish,n./v.,1,27
fisherman,n.,2,27
fishery,n.,5,27
fist,n./v.,3,27
fit,adj./v./n./adv.,2,27
five,n./adj.,1,27
fix,v./n.,2,27
flag,n./v.,2,27
flake,n./v.,5,27
flame,n./v.,3,27
flap,v./n.,5,27
flare,v./n.,6,27
flash,v./n.,2,27
flashlight/flash,n.,2,27
flat,adj./adv./n./v.,2,27
flatter,v.,4,27
flavor,n./v.,3,27
flaw,n./v.,5,27
flea,n.,3,27
flee,v.,4,27
fleet,n.,6,27
flesh,n.,3,27
flexible,adj.,4,27
flick,n./v.,5,27
flicker,v./n.,6,27
flight,n.,2,27
fling,v./n.,6,27
flip,v./n.,5,27
float,v./n.,3,27
flock,n./v.,3,27
flood,n./v.,2,27
floor,n./v.,1,27
flour,n./v.,2,27
flourish,v./n.,5,27
flow,v./n.,2,27
flower,n./v.,1,27
flu,n.,2,27
fluency,n.,5,27
fluent,adj.,4,27
fluid,n./adj.,6,27
flunk,v./n.,4,27
flush,v./n.,4,27
flute,n./v.,2,27
flutter,v./n.,6,27
fly (1),n.,1,27
fly (2),v.,1,27
foam,n./v.,4,27
focus,n./v.,2,28
foe,n.,5,28
fog,n./v.,1,28
foggy,adj.,2,28
foil,n.,5,28
fold,v./n.,3,28
folk,n.,3,28
folklore,n.,5,28
follow,v.,1,28
follower,n.,3,28
following,prep./n./adj.,2,28
fond,adj.,3,28
food,n.,1,28
fool (1),n.,2,28
fool (2),v.,2,28
foolish,adj.,2,28
foot,n./v.,1,28
football,n.,2,28
for,prep./conj.,1,28
forbid,v.,4,28
force,n./v.,1,28
forecast,n./v.,4,28
forehead/brow,n.,3,28
foreign,adj.,1,28
foreigner,n.,2,28
foresee,v.,6,28
forest,n.,1,28
forever,adv.,3,28
forget,v.,1,28
forgetful,adj.,5,28
forgive,v.,2,28
fork,n./v.,1,28
form,n./v.,2,28
formal,adj.,2,28
format,n./v.,5,28
formation,n.,4,28
former,adj.,2,28
formidable,adj.,6,28
formula,n.,4,28
formulate,v.,6,28
forsake,v.,6,28
fort,n.,4,28
